title
question,anser,take1,...,takeN
SEA/J 模擬問題０２
JISQ27002:2006に示されている情報セキュリティの6つの要素に含まれてないものはどれか,3,真正性,信頼性,追随性,機密性
計画したプロセスを実施する段階は「PDCAサイクル」のどの段階か,2,PLAN,DO,CHECK,ACT
検証するプロセスを実施する段階は「PDCAサイクル」のどの段階か,4,DO,PLAN,ACT,CHECK
情報セキュリティポリシーの説明として適切なものはどれか,2,情報セキュリティポリシーは、情報システム部の部門長から承認されるべきものである,情報セキュリティポリシーの基本方針には、具体的な手順まで記述しない,情報セキュリティポリシーは、必ず3階層で構成される,情報セキュリティポリシーの内的な効果は、特にはなく、外的な効果のみである
情報セキュリティマネジメントシステムの要求事項を定義しているJIS規格はどれか,2,JIS_X:5070,JIS_Q:27001,JIS_Q:27002,JIS_Q:15001
セキュリティを考慮した機材等の取り扱いとして適切でないものはどれか,1,格納場所がすぐにわかるように、「ノートPC在中」と書いたラベルをロッカーに書いておく,ノートPC内のファイルにパスワードを設定して、関係者以外に見せないようにする,機密情報の入ったロッカーは、施錠する,ノートPCのUSBポートを利用したセキュリティキーを使用する
ソーシャルエンジニアリングの攻撃方法の説明として適切でないものはどれか,1,外部からリモート接続でネットワークに入り込もうとする,ディスプレイを覗いて、機密情報を得る,社員を装って電話をかけ、パスワードを聞き出す,清掃員になり、ゴミから重要情報を持ち出す
セキュリティポリシーの教育について最適な時期はどれか,2,人事異動時,採用時,休職時,昇格時
VPNの構成要素として適切でないのはどれか。,1,スイッチ,トンネリング,暗号化,認証
人員管理に関する記述のうち、適切なものはどれか,1,職員採用時に、機密保持契約を結ぶ,職員が退職をしても、当分はその職員のアカウントを保持させる,職員が休職した際には、その職員のアカウントを削除する,人事異動がある度にサイトごとのポリシー教育は行えないので、採用時に徹底して行う
セキュリティ事件・事故が起こったときに備え、行っておくべき事として適切なものはどれか,1,セキュリティポリシーの策定,教育委員会の設立,組織図の再編成,事業継続計画の決定
施設の入退出管理の施策として適切でないものはどれか,4,身分証の携帯を徹底,入退出の記録を取る,施設区分を行う,情報の取り扱いを決める
TCP/IPネットワーク・モデルの「インターネット層」は、OSI基本参照モデルのどの層にあてはまりますか,4,トランスポート層,データリンク層,セッション層,ネットワーク層
主にTCPヘッダ、IPヘッダをもとにアクセスコントロールを行うファイアウォールの技術はどれですか。,1,パケットフィルタリング,アプリケーションゲートウェイ,IDS,サーキットレベルゲートウェイ
UDPの特徴として当てはまるものはどれか,2,コネクション型,TCPと比較して、軽量なプロトコル,TCPと比較して、信頼性に優れている,TCPと比較して、オーバーヘッドが多い
VPNの特徴として適切なものはどれか,3,拠点開通信でVPNを使用する場合は、各拠点で使用するプロトコルはIPに限定される,メッセージの改ざんの有無を確認する用途では使用されない,第三者による盗聴を困難にすることができる,インターネットを利用するため、専用線を導入するよりコストが高くなる
無線LANで利用されるSSIDの説明として適切でないものはどれか,3,無線LAN端末の集合をグループ化するための文字列である,MACアドレスフィルタリングと同じく、認証の機能を実装する,WEPで使用される暗号化技術のうちの一部である,通信可能な無線LAN端末を織別すためのものであり、セキュリティ対策技術ではない
無線LANのセキュリティ技術として適切でないのはどれか,3,MACアドレスフィルタリング,データの暗号化,ポートスキャン,接続の認証
次のうちメールクライアントソフトの運用としてセキュリティ的に好ましくないと思われるのはどれですか。,2,仕事中はこまめにメールを受信する,知り合いからのメールであれば添付ファイルの種類に問わず保存、実行する,メールクライアントソフトを最新の状態に保つ,メールを受信するときのパスワードを定期的に変える
